graph_name,nodes,edges,initial_crossings_neato
grafo1312.26.graphml,26,29,0
grafo1313.31.graphml,31,38,7
grafo1314.25.graphml,25,27,2
grafo1315.29.graphml,29,31,1
grafo1316.28.graphml,28,30,0
grafo1317.68.graphml,68,87,20
grafo1318.26.graphml,26,36,5
grafo1319.25.graphml,25,31,2
grafo132.21.graphml,21,27,1
grafo1320.27.graphml,27,37,8
grafo1321.25.graphml,25,29,0
grafo1322.30.graphml,30,37,3
grafo1323.26.graphml,26,27,2
grafo1324.27.graphml,27,28,0
grafo1325.24.graphml,24,23,0
grafo1326.27.graphml,27,29,1
grafo1327.50.graphml,50,59,6
grafo1328.54.graphml,54,71,31
grafo1329.33.graphml,33,39,5
grafo133.16.graphml,16,17,2
grafo1330.28.graphml,28,29,1
grafo1331.28.graphml,28,33,4
grafo1332.27.graphml,27,35,4
grafo1333.29.graphml,29,31,1
grafo1334.30.graphml,30,39,9
grafo1335.56.graphml,56,81,36
grafo1336.25.graphml,25,26,0
grafo1337.42.graphml,42,48,9
grafo1338.25.graphml,25,26,1
grafo1339.28.graphml,28,41,16
grafo134.40.graphml,40,49,22
grafo1340.26.graphml,26,31,4
grafo1341.25.graphml,25,27,0
grafo1342.59.graphml,59,70,17
grafo1343.24.graphml,24,27,0
grafo1344.25.graphml,25,26,1
grafo1345.30.graphml,30,44,23
grafo1346.65.graphml,65,76,10
grafo1347.25.graphml,25,29,2
grafo1348.26.graphml,26,27,0
grafo1349.31.graphml,31,41,7
grafo135.30.graphml,30,40,8
grafo1350.29.graphml,29,41,17
grafo1351.28.graphml,28,36,4
grafo1352.29.graphml,29,34,2
grafo1353.49.graphml,49,54,1
grafo1354.28.graphml,28,36,7
grafo1355.27.graphml,27,32,3
grafo1356.29.graphml,29,34,3
grafo1357.52.graphml,52,57,2
grafo1358.52.graphml,52,70,18
grafo1359.28.graphml,28,30,1
grafo136.21.graphml,21,26,3
grafo1360.25.graphml,25,30,4
grafo1361.55.graphml,55,66,8
grafo1362.31.graphml,31,37,1
grafo1363.29.graphml,29,38,6
grafo1364.68.graphml,68,87,23
grafo1365.66.graphml,66,86,34
grafo1366.56.graphml,56,70,13
grafo1367.25.graphml,25,26,1
grafo1368.31.graphml,31,44,13
grafo1369.23.graphml,23,24,1
grafo137.21.graphml,21,36,30
grafo1370.72.graphml,72,89,22
grafo1371.26.graphml,26,33,6
grafo1372.25.graphml,25,27,0
grafo1373.27.graphml,27,31,2
grafo1374.28.graphml,28,32,5
grafo1375.26.graphml,26,31,7
grafo1376.29.graphml,29,34,3
grafo1377.26.graphml,26,26,0
grafo1378.46.graphml,46,62,26
grafo1379.32.graphml,32,39,3
grafo138.38.graphml,38,48,11
grafo1380.61.graphml,61,72,17
grafo1381.70.graphml,70,87,20
grafo1382.48.graphml,48,55,2
grafo1383.51.graphml,51,74,30
grafo1384.27.graphml,27,36,2
grafo1385.29.graphml,29,36,3
grafo1386.29.graphml,29,40,7
grafo1387.56.graphml,56,70,9
grafo1388.29.graphml,29,38,3
grafo1389.26.graphml,26,28,0
